Date	Close	Open	High	Low	% var.
30.05.2014	"13,631"	"13,601"	"13,650"	"13,598"	"0,21"
29.05.2014	"13,602"	"13,589"	"13,626"	"13,585"	"0,08"
28.05.2014	"13,591"	"13,635"	"13,639"	"13,588"	"-0,32"
27.05.2014	"13,634"	"13,647"	"13,670"	"13,613"	"-0,09"
26.05.2014	"13,646"	"13,626"	"13,655"	"13,615"	"0,09"
23.05.2014	"13,634"	"13,656"	"13,660"	"13,615"	"-0,16"
22.05.2014	"13,656"	"13,687"	"13,689"	"13,645"	"-0,23"
21.05.2014	"13,687"	"13,703"	"13,724"	"13,635"	"-0,12"
20.05.2014	"13,703"	"13,708"	"13,714"	"13,678"	"-0,04"
19.05.2014	"13,709"	"13,703"	"13,736"	"13,688"	"0,10"
16.05.2014	"13,695"	"13,712"	"13,729"	"13,687"	"-0,12"
15.05.2014	"13,711"	"13,715"	"13,733"	"13,648"	"-0,03"
14.05.2014	"13,715"	"13,704"	"13,732"	"13,697"	"0,08"
13.05.2014	"13,704"	"13,758"	"13,773"	"13,691"	"-0,39"
12.05.2014	"13,757"	"13,750"	"13,775"	"13,748"	"-0,02"
09.05.2014	"13,760"	"13,841"	"13,847"	"13,746"	"-0,59"
08.05.2014	"13,841"	"13,911"	"13,993"	"13,832"	"-0,51"
07.05.2014	"13,912"	"13,928"	"13,940"	"13,910"	"-0,11"
06.05.2014	"13,928"	"13,875"	"13,952"	"13,869"	"0,37"
05.05.2014	"13,876"	"13,872"	"13,892"	"13,865"	"0,04"
02.05.2014	"13,870"	"13,868"	"13,881"	"13,811"	"0,00"
01.05.2014	"13,870"	"13,866"	"13,889"	"13,861"	"0,01"
30.04.2014	"13,868"	"13,813"	"13,878"	"13,777"	"0,41"
29.04.2014	"13,812"	"13,849"	"13,879"	"13,805"	"-0,27"
28.04.2014	"13,850"	"13,834"	"13,880"	"13,814"	"0,12"
25.04.2014	"13,833"	"13,832"	"13,850"	"13,826"	"0,01"
24.04.2014	"13,832"	"13,819"	"13,843"	"13,792"	"0,11"
23.04.2014	"13,817"	"13,805"	"13,855"	"13,800"	"0,09"
22.04.2014	"13,805"	"13,794"	"13,826"	"13,785"	"0,09"
21.04.2014	"13,792"	"13,809"	"13,832"	"13,786"	"-0,17"
18.04.2014	"13,815"	"13,814"	"13,825"	"13,808"	"0,00"
17.04.2014	"13,815"	"13,816"	"13,866"	"13,810"	"-0,01"
16.04.2014	"13,816"	"13,814"	"13,852"	"13,804"	"0,01"
15.04.2014	"13,814"	"13,821"	"13,835"	"13,790"	"-0,05"
14.04.2014	"13,821"	"13,839"	"13,866"	"13,810"	"-0,46"
11.04.2014	"13,885"	"13,888"	"13,907"	"13,864"	"-0,02"
10.04.2014	"13,888"	"13,855"	"13,899"	"13,835"	"0,24"
09.04.2014	"13,855"	"13,794"	"13,862"	"13,779"	"0,43"
08.04.2014	"13,796"	"13,741"	"13,813"	"13,737"	"0,40"
07.04.2014	"13,741"	"13,696"	"13,749"	"13,689"	"0,28"
04.04.2014	"13,703"	"13,719"	"13,732"	"13,672"	"-0,12"
03.04.2014	"13,720"	"13,768"	"13,807"	"13,699"	"-0,34"
02.04.2014	"13,767"	"13,792"	"13,821"	"13,752"	"-0,20"
01.04.2014	"13,794"	"13,769"	"13,817"	"13,767"	"0,17"
31.03.2014	"13,771"	"13,755"	"13,807"	"13,734"	"0,13"
28.03.2014	"13,753"	"13,740"	"13,773"	"13,705"	"0,09"
27.03.2014	"13,740"	"13,781"	"13,798"	"13,729"	"-0,31"
26.03.2014	"13,783"	"13,827"	"13,829"	"13,777"	"-0,32"
25.03.2014	"13,827"	"13,839"	"13,848"	"13,750"	"-0,09"
24.03.2014	"13,839"	"13,792"	"13,876"	"13,760"	"0,33"
21.03.2014	"13,794"	"13,779"	"13,813"	"13,767"	"0,11"
20.03.2014	"13,779"	"13,832"	"13,845"	"13,749"	"-0,39"
19.03.2014	"13,833"	"13,933"	"13,935"	"13,809"	"-0,72"
